City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
59,Yuzhno-Sukhokumsk,RU,2022-01-23 18:24:56,44.6581,45.6436,39.24,88,96,11.74,overcast clouds
60,Sao Filipe,CV,2022-01-23 18:19:54,14.8961,-24.4956,74.59,72,98,13.94,overcast clouds
61,Bredasdorp,ZA,2022-01-23 18:16:26,-34.5322,20.0403,74.52,69,19,11.5,few clouds
62,Kavieng,PG,2022-01-23 18:24:56,-2.5744,150.7967,81.48,76,72,4.74,light rain
63,Grand Gaube,MU,2022-01-23 18:24:56,-20.0064,57.6608,81.37,82,72,4.0,broken clouds
64,Springbok,ZA,2022-01-23 18:24:57,-29.6643,17.8865,74.39,52,87,9.04,overcast clouds
65,Monticello,US,2022-01-23 18:24:57,45.3055,-93.7941,4.8,72,100,4.61,overcast clouds
66,Minas De Barroteran,MX,2022-01-23 18:24:57,27.6333,-101.2833,43.03,60,100,3.15,overcast clouds
67,Longyearbyen,SJ,2022-01-23 18:19:50,78.2186,15.6401,17.44,62,0,14.97,clear sky
68,Copiapo,CL,2022-01-23 18:24:58,-27.3667,-70.3333,83.44,27,71,10.92,broken clouds
69,Vao,NC,2022-01-23 18:24:58,-22.6667,167.4833,77.56,68,33,12.1,scattered clouds
70,Islamkot,PK,2022-01-23 18:24:58,24.6997,70.177,61.09,31,0,5.26,clear sky
71,Faya,SA,2022-01-23 18:24:59,18.3851,42.4509,55.51,67,12,3.78,few clouds
72,Chuy,UY,2022-01-23 18:24:59,-33.6971,-53.4616,87.4,61,91,7.27,light rain
73,Cidreira,BR,2022-01-23 18:24:59,-30.1811,-50.2056,84.11,68,6,15.08,clear sky
74,San Patricio,US,2022-01-23 18:16:34,28.017,-97.5169,57.29,43,100,5.14,overcast clouds
75,Meghraj,IN,2022-01-23 18:25:00,23.5,73.5,56.28,30,0,7.87,clear sky
76,Namatanai,PG,2022-01-23 18:25:00,-3.6667,152.4333,79.21,82,49,3.04,scattered clouds
77,Skelleftea,SE,2022-01-23 18:25:00,64.7507,20.9528,45.0,57,0,4.0,clear sky
78,Saint-Louis,SN,2022-01-23 18:25:00,16.3333,-15.0,92.84,6,39,16.28,scattered clouds
79,Sal Rei,CV,2022-01-23 18:25:01,16.1833,-22.9167,73.96,83,100,20.71,overcast clouds
80,Pevek,RU,2022-01-23 18:25:01,69.7008,170.3133,-13.2,96,100,19.04,overcast clouds
81,Tasiilaq,GL,2022-01-23 18:17:37,65.6145,-37.6368,15.96,45,8,21.32,clear sky
82,Feuchtwangen,DE,2022-01-23 18:25:01,49.1667,10.3333,37.67,89,98,1.01,overcast clouds
83,Helong,CN,2022-01-23 18:25:02,42.5397,128.9972,7.43,88,5,4.54,clear sky
84,Arraial Do Cabo,BR,2022-01-23 18:25:02,-22.9661,-42.0278,85.96,69,0,18.41,clear sky
85,Mataura,NZ,2022-01-23 18:16:26,-46.1927,168.8643,51.48,82,89,1.32,overcast clouds
86,Bubaque,GW,2022-01-23 18:17:40,11.2833,-15.8333,79.48,74,32,13.76,scattered clouds
87,Hobart,AU,2022-01-23 18:16:33,-42.8794,147.3294,61.27,88,99,5.75,overcast clouds
88,Port Alfred,ZA,2022-01-23 18:16:29,-33.5906,26.891,76.33,73,2,30.62,clear sky
89,Avarua,CK,2022-01-23 18:15:15,-21.2078,-159.775,80.65,89,100,12.66,overcast clouds
90,Riyadh,SA,2022-01-23 18:25:03,24.6877,46.7219,59.14,28,1,9.06,clear sky
91,Norman Wells,CA,2022-01-23 18:20:12,65.282,-126.8329,3.24,72,75,16.11,broken clouds
92,Kibaya,TZ,2022-01-23 18:25:03,-5.3,36.5667,61.68,88,100,1.1,overcast clouds
93,Kruisfontein,ZA,2022-01-23 18:25:04,-34.0033,24.7314,76.89,69,1,3.04,clear sky
94,Bluff,NZ,2022-01-23 18:16:34,-46.6,168.3333,51.8,70,93,2.35,overcast clouds
95,Alofi,NU,2022-01-23 18:26:04,-19.0595,-169.9187,76.89,88,16,8.05,few clouds
96,Maraba,BR,2022-01-23 18:24:21,-5.3686,-49.1178,87.98,70,20,3.44,few clouds
97,Karratha,AU,2022-01-23 18:26:04,-20.7377,116.8463,82.89,72,100,15.37,light rain
98,Yumen,CN,2022-01-23 18:26:05,40.2833,97.2,20.25,51,11,4.12,few clouds
99,Sembakung,ID,2022-01-23 18:26:05,3.8167,117.25,78.73,98,74,0.69,broken clouds
100,Honningsvag,NO,2022-01-23 18:16:28,70.9821,25.9704,36.93,80,75,29.93,broken clouds
101,Broome,US,2022-01-23 18:26:05,42.2506,-75.833,30.02,66,100,4.0,overcast clouds
102,Mar Del Plata,AR,2022-01-23 18:17:44,-38.0023,-57.5575,84.22,45,75,11.99,broken clouds
103,Luderitz,NA,2022-01-23 18:26:06,-26.6481,15.1594,80.51,55,89,13.53,overcast clouds
104,Cap Malheureux,MU,2022-01-23 18:26:06,-19.9842,57.6142,81.46,82,71,4.0,broken clouds
105,New Norfolk,AU,2022-01-23 18:19:48,-42.7826,147.0587,60.91,72,99,2.26,overcast clouds
106,Kapaa,US,2022-01-23 18:17:43,22.0752,-159.319,70.12,85,100,4.61,moderate rain
